Lorenzo Parra
Jean Pascal
Mauricio Pastrana
Toon Pastor
Willie Pastrano
Floyd Patterson
Jimmy Paul
Kelly Pavlik
Vinny Pazienza
Eusebio Pedroza
Willie Pep
James Pereira
Luis Alberto Pérez
Pascual Perez
Eddie Perkins
Samuel Peter
Kostas Petrou
Lyn Philp
Francesco Pianeta
Ellyas Pical
Antonio Pitalúa
Lupe Pintor
Nicky Piper
Pete Podgorski
Alexander Povetkin
Breidis Prescott
Mario Preskar
Ruslan Provodnikov
Aaron Pryor
Dwight Muhammad Qawi
Bobby Quarry
Jerry Quarry
Mike Quarry
Hennie Quentemeijer
Carlos Quintana
Robert Quiroga
Pete Rademacher
Zahir Raheem
Hasim Rahman
Victor Emilio Ramirez
Sugar Ramos
Sam Rapira
Pete Ranzany
Tony Reed
Robin Reid
Gil Reyes
Ryan Rhodes
Dick Richardson
Viddal Riley
Nick Ring
Cosme Rivera
Freddie Roach
Paolo Roberto
Sugar Ray Robinson
Graciano Rocchigiani
Ralf Rocchigiani
Adilson Rodrigues
David Rodriguez
Francisco Rodríguez Jr.
Luis Manuel Rodríguez
José Roman
Danny Romero
Omar Niño Romero
Brad Rone
Edwin Rosario
Matthew Rosa
Lionel Rose
Troy Ross
Mike Rossman
Gary Russell Jr.
Leo Rwabwogo
Matthew Saad Muhammad
Shozo Saijo
Takefumi Sakata
Alessio Sakara
Vicente Saldivar
Sinan Samil Sam
Salvador Sánchez
Corrie Sanders
Richie Sandoval
Dave Sands
Ahmed Santos
Lee Savold
Félix Savón
Tom Sayers
Max Schmeling
George Scott
Billy Schwer
Al Seeger
Tonton Semakala
Viacheslav Senchenko
Ulderico Sergo
Samuel Serrano
Frédéric Serrat
Archie Sexton
Sam Sexton
Jack Sharkey
Tom Sharkey
Earnie Shavers
Kuniaki Shibata
Ronnie Shields
Yoshio Shirai
Tony Sibson
Mzukisi Sikali
Battling Siki
Anderson Silva
Lakva Sim
Matt Skelton
James Smith
Verdell Smith
Jorge Solís
Julian Solís
Odlanier Solis
Rafael Solis
Ulises Solís
Søren Søndergaard
Albert Sosnowski
Humberto Soto
Paul Spadafora
Errol Spence
Cory Spinks
Leon Spinks
Michael Spinks
Terence Spinks
Bill Squires
Adonis Stevenson
Shakur Stevenson
Teófilo Stevenson
Bermane Stiverne
Bruce Strauss
Reggie Strickland
Felix Sturm
John L. Sullivan
Chas Symonds
Katsunari Takayama
Shinji Takehara
Carlos Támara
Joichiro Tatsuyoshi
Tadashi Tomori
Vittorio Tamagnini
Johnny Tapia
Antonio Tarver
Arnold Taylor
Jermain Taylor
Meldrick Taylor
Glover Teixeira
Drake Thadzi
Marcel Thil
Nico Thomas
Pinklon Thomas
Carlos Takam
Hasse Thomsén
Tue Bjørn Thomsen
Tony Thompson
Jimmy Thunder
Keith Thurman
Dick Tiger
Hideki Todaka
Katsuo Tokashiki
James Toney
David Torosyan
José Torres
Ricardo Torres
Félix Trinidad
Adam Trupish
Choi Tseveenpurev
Kostya Tszyu
David Tua
Gene Tunney
Buddy Turman
Najai Turpin
Randy Turpin
Regilio Tuur
Mike Tyson
Yasutsune Uehara
Juan Urango
Alexander Ustinov
Oleksandr Usyk
Paolino Uzcudun
Rodrigo Valdez
Edwin Valero
Benny Valger
Eddie Vallejo
Nikolai Valuev
Arnold Vanderlyde
Fitz Vanderpool
Fernando Vargas
Martín Vargas
Samuel Vargas
Roberto Vásquez
Francisc Vastag
Israel Vázquez
Wilfredo Vázquez
Percy Vear
Hector Javier Velazco
Pancho Villa
Ben Villaflor
Brian Viloria
James Vrij
Koichi Wajima
Jersey Joe Walcott
Joe Walcott
Travis Walker
Andre Ward
Micky Ward
Mickey Walker
Rau'shee Warren
Jiro Watanabe
Maurice Watkins
Michael Watson
Jim Watt
Ray Wheatley
Chuck Wepner
Pernell Whitaker
Deontay Wilder
Jess Willard
Aaron Williams
Danny Williams
Holman Williams
Ike Williams
Jeremy Williams
Paul Williams
Harry Wills
Krzysztof Wlodarczyk
Paea Wolfgramm
Pongsaklek Wonjongkam
Bruce Woodcock
Curtis Woodhouse
Lee Woodley
Clinton Woods
Chalky Wright
Winky Wright
Anthony Yarde
Yasuei Yakushiji
Teddy Yarosz
Jimmy Young
Tony Yoka
Tony Zale
Tom Zbikowski
Alfonso Zamora
Ysaias Zamudio
Daniel Zaragoza
Carlos Zarate
Dejan Zavec
Hein van der Zee
Fritzie Zivic
Stefano Zoff
Henriques Zowa
Fulgencio Zúñiga
